magazin,nivel,scor,platforma,comision_max_pct,are_promotie,cod_cupon,in_feed_produse,pagina_brand,link_afiliat_real,sales_number
priveboutique.net,LOW,7.8,profitshare,10.0,0,0,0,0,1,0
petmax.ro,LOW,7.8,2performant,5.0,0,0,0,1,1,0
automobilus.ro,LOW,7.8,2performant,5.0,0,0,0,1,1,0
petmart.ro,LOW,7.8,2performant,5.0,0,0,0,1,1,0
pfarma.ro,LOW,7.8,2performant,5.0,0,0,0,1,1,0
dyfashion.ro,LOW,7.7,2performant,0.0,0,0,0,0,1,0
inpuff.ro,LOW,7.7,2performant,0.0,0,0,0,0,1,0
foglia.ro,LOW,7.7,2performant,0.0,0,0,0,0,1,0
originals.ro,LOW,7.7,2performant,0.0,0,0,0,0,1,0
sofiline.ro,LOW,7.7,2performant,0.0,0,0,0,0,1,0
various-brands.ro,LOW,7.7,2performant,0.0,0,0,0,0,1,0
gameology.ro,LOW,7.7,2performant,0.0,0,0,0,0,1,0
mindblower.ro,LOW,7.7,profitshare,11.0,0,0,0,0,1,0
notino.ro,LOW,7.7,2performant,4.0,0,0,0,1,1,0
amazon.com,LOW,7.6,impact,0.0,0,0,0,1,1,0
nurio.ro,LOW,7.5,2performant,0.0,0,0,0,0,1,0
youparcel.com,LOW,7.5,impact,5.0,0,0,0,0,1,0
nosugarshop.ro,LOW,7.5,profitshare,10.0,0,0,0,0,1,0
liki24.ro,LOW,7.5,2performant,3.0,0,0,0,1,1,0
sportdepot.ro,LOW,7.5,2performant,3.0,0,0,0,1,1,0
adventology.co.uk,LOW,7.4,impact,0.0,0,0,0,0,1,0
arenacollection.com,LOW,7.4,impact,4.0,0,0,0,0,1,0
hotelarenalspring.com,ASCUNS,7.4,impact,4.0,0,0,0,0,0,0
